"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Diffusion 4.nlogo"
"social-influence-experiment"
"07/03/2024 18:41:00:024 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","density","frac-influential","number-of-agents","network","social-influence","broadcast-influence","influential-weight","[step]","count turtles with [adopted?]","count regulars with [adopted?]","count influentials with [adopted?]"
"9","0.3","0.3","100","random","0.9","0.2","0.7","4","88","62","26"
"9","0.3","0.3","100","random","0.9","0.2","0.7","5","98","69","29"
"11","0.3","0.3","100","random","0.1","0.2","0.7","1","23","16","7"
"9","0.3","0.3","100","random","0.9","0.2","0.7","6","100","70","30"
"11","0.3","0.3","100","random","0.1","0.2","0.7","2","38","29","9"
"12","0.3","0.3","100","random","0.2","0.2","0.7","1","21","11","10"
"11","0.3","0.3","100","random","0.1","0.2","0.7","3","56","41","15"
"12","0.3","0.3","100","random","0.2","0.2","0.7","2","45","29","16"
"11","0.3","0.3","100","random","0.1","0.2","0.7","4","66","48","18"
"11","0.3","0.3","100","random","0.1","0.2","0.7","5","81","56","25"
"12","0.3","0.3","100","random","0.2","0.2","0.7","3","59","36","23"
"11","0.3","0.3","100","random","0.1","0.2","0.7","6","88","59","29"
"11","0.3","0.3","100","random","0.1","0.2","0.7","7","89","60","29"
"12","0.3","0.3","100","random","0.2","0.2","0.7","4","73","49","24"
"11","0.3","0.3","100","random","0.1","0.2","0.7","8","94","65","29"
"11","0.3","0.3","100","random","0.1","0.2","0.7","9","95","66","29"
"12","0.3","0.3","100","random","0.2","0.2","0.7","5","79","53","26"
"11","0.3","0.3","100","random","0.1","0.2","0.7","10","95","66","29"
"11","0.3","0.3","100","random","0.1","0.2","0.7","11","96","67","29"
"12","0.3","0.3","100","random","0.2","0.2","0.7","6","84","56","28"
"11","0.3","0.3","100","random","0.1","0.2","0.7","12","97","68","29"
"11","0.3","0.3","100","random","0.1","0.2","0.7","13","97","68","29"
"12","0.3","0.3","100","random","0.2","0.2","0.7","7","90","61","29"
"11","0.3","0.3","100","random","0.1","0.2","0.7","14","98","68","30"
"11","0.3","0.3","100","random","0.1","0.2","0.7","15","98","68","30"
"12","0.3","0.3","100","random","0.2","0.2","0.7","8","92","62","30"
"11","0.3","0.3","100","random","0.1","0.2","0.7","16","99","69","30"
"11","0.3","0.3","100","random","0.1","0.2","0.7","17","100","70","30"
"14","0.3","0.3","100","random","0.4","0.2","0.7","0","0","0","0"
"14","0.3","0.3","100","random","0.4","0.2","0.7","1","28","22","6"
"14","0.3","0.3","100","random","0.4","0.2","0.7","2","54","39","15"
"14","0.3","0.3","100","random","0.4","0.2","0.7","3","73","52","21"
"13","0.3","0.3","100","random","0.3","0.2","0.7","0","0","0","0"
"14","0.3","0.3","100","random","0.4","0.2","0.7","4","87","60","27"
"14","0.3","0.3","100","random","0.4","0.2","0.7","5","93","65","28"
"14","0.3","0.3","100","random","0.4","0.2","0.7","6","97","67","30"
"13","0.3","0.3","100","random","0.3","0.2","0.7","1","25","13","12"
"14","0.3","0.3","100","random","0.4","0.2","0.7","7","97","67","30"
"14","0.3","0.3","100","random","0.4","0.2","0.7","8","99","69","30"
"13","0.3","0.3","100","random","0.3","0.2","0.7","2","54","35","19"
"13","0.3","0.3","100","random","0.3","0.2","0.7","3","77","51","26"
"12","0.3","0.3","100","random","0.2","0.2","0.7","9","96","66","30"
"13","0.3","0.3","100","random","0.3","0.2","0.7","4","86","59","27"
"12","0.3","0.3","100","random","0.2","0.2","0.7","10","98","68","30"
"13","0.3","0.3","100","random","0.3","0.2","0.7","5","93","64","29"
"12","0.3","0.3","100","random","0.2","0.2","0.7","11","99","69","30"
"13","0.3","0.3","100","random","0.3","0.2","0.7","6","97","67","30"
"12","0.3","0.3","100","random","0.2","0.2","0.7","12","100","70","30"
"13","0.3","0.3","100","random","0.3","0.2","0.7","7","100","70","30"
"15","0.3","0.3","100","random","0.5","0.2","0.7","0","0","0","0"
"15","0.3","0.3","100","random","0.5","0.2","0.7","1","21","16","5"
"15","0.3","0.3","100","random","0.5","0.2","0.7","2","45","31","14"
"15","0.3","0.3","100","random","0.5","0.2","0.7","3","71","50","21"
"15","0.3","0.3","100","random","0.5","0.2","0.7","4","86","59","27"
"17","0.3","0.3","100","random","0.7","0.2","0.7","0","0","0","0"
"15","0.3","0.3","100","random","0.5","0.2","0.7","5","92","64","28"
"15","0.3","0.3","100","random","0.5","0.2","0.7","6","96","67","29"
"16","0.3","0.3","100","random","0.6","0.2","0.7","0","0","0","0"
"17","0.3","0.3","100","random","0.7","0.2","0.7","1","25","15","10"
"15","0.3","0.3","100","random","0.5","0.2","0.7","7","98","68","30"
"15","0.3","0.3","100","random","0.5","0.2","0.7","8","99","69","30"
"15","0.3","0.3","100","random","0.5","0.2","0.7","9","100","70","30"
"17","0.3","0.3","100","random","0.7","0.2","0.7","2","60","41","19"
"16","0.3","0.3","100","random","0.6","0.2","0.7","1","28","20","8"
"17","0.3","0.3","100","random","0.7","0.2","0.7","3","81","57","24"
"17","0.3","0.3","100","random","0.7","0.2","0.7","4","91","61","30"
"16","0.3","0.3","100","random","0.6","0.2","0.7","2","52","39","13"
"17","0.3","0.3","100","random","0.7","0.2","0.7","5","97","67","30"
"17","0.3","0.3","100","random","0.7","0.2","0.7","6","100","70","30"
"16","0.3","0.3","100","random","0.6","0.2","0.7","3","76","55","21"
"16","0.3","0.3","100","random","0.6","0.2","0.7","4","94","68","26"
"16","0.3","0.3","100","random","0.6","0.2","0.7","5","99","70","29"
"16","0.3","0.3","100","random","0.6","0.2","0.7","6","100","70","30"
"18","0.3","0.3","100","random","0.8","0.2","0.7","0","0","0","0"
"18","0.3","0.3","100","random","0.8","0.2","0.7","1","31","22","9"
"18","0.3","0.3","100","random","0.8","0.2","0.7","2","59","41","18"
"19","0.3","0.3","100","random","0.9","0.2","0.7","0","0","0","0"
"18","0.3","0.3","100","random","0.8","0.2","0.7","3","90","61","29"
"18","0.3","0.3","100","random","0.8","0.2","0.7","4","99","69","30"
"18","0.3","0.3","100","random","0.8","0.2","0.7","5","100","70","30"
"19","0.3","0.3","100","random","0.9","0.2","0.7","1","41","32","9"
"19","0.3","0.3","100","random","0.9","0.2","0.7","2","74","53","21"
"19","0.3","0.3","100","random","0.9","0.2","0.7","3","97","69","28"
"19","0.3","0.3","100","random","0.9","0.2","0.7","4","100","70","30"
"20","0.3","0.3","100","random","1","0.2","0.7","0","0","0","0"
"20","0.3","0.3","100","random","1","0.2","0.7","1","41","28","13"
"21","0.3","0.3","100","random","0.1","0.2","0.7","0","0","0","0"
"20","0.3","0.3","100","random","1","0.2","0.7","2","79","55","24"
"21","0.3","0.3","100","random","0.1","0.2","0.7","1","26","20","6"
"20","0.3","0.3","100","random","1","0.2","0.7","3","98","69","29"
"20","0.3","0.3","100","random","1","0.2","0.7","4","100","70","30"
"21","0.3","0.3","100","random","0.1","0.2","0.7","2","43","33","10"
"21","0.3","0.3","100","random","0.1","0.2","0.7","3","54","42","12"
"21","0.3","0.3","100","random","0.1","0.2","0.7","4","66","49","17"
"22","0.3","0.3","100","random","0.2","0.2","0.7","0","0","0","0"
"21","0.3","0.3","100","random","0.1","0.2","0.7","5","72","51","21"
"21","0.3","0.3","100","random","0.1","0.2","0.7","6","79","55","24"
"22","0.3","0.3","100","random","0.2","0.2","0.7","1","19","12","7"
"21","0.3","0.3","100","random","0.1","0.2","0.7","7","81","56","25"
"21","0.3","0.3","100","random","0.1","0.2","0.7","8","85","59","26"
"22","0.3","0.3","100","random","0.2","0.2","0.7","2","43","31","12"
"21","0.3","0.3","100","random","0.1","0.2","0.7","9","90","63","27"
"21","0.3","0.3","100","random","0.1","0.2","0.7","10","95","67","28"
"22","0.3","0.3","100","random","0.2","0.2","0.7","3","54","40","14"
"23","0.3","0.3","100","random","0.3","0.2","0.7","0","0","0","0"
"14","0.3","0.3","100","random","0.4","0.2","0.7","9","100","70","30"
"22","0.3","0.3","100","random","0.2","0.2","0.7","4","65","44","21"
"21","0.3","0.3","100","random","0.1","0.2","0.7","11","97","68","29"
"21","0.3","0.3","100","random","0.1","0.2","0.7","12","98","69","29"
"22","0.3","0.3","100","random","0.2","0.2","0.7","5","82","57","25"
"23","0.3","0.3","100","random","0.3","0.2","0.7","1","26","19","7"
"21","0.3","0.3","100","random","0.1","0.2","0.7","13","98","69","29"
"22","0.3","0.3","100","random","0.2","0.2","0.7","6","87","61","26"
"21","0.3","0.3","100","random","0.1","0.2","0.7","14","98","69","29"
"21","0.3","0.3","100","random","0.1","0.2","0.7","15","98","69","29"
"22","0.3","0.3","100","random","0.2","0.2","0.7","7","91","64","27"
"23","0.3","0.3","100","random","0.3","0.2","0.7","2","43","33","10"
"21","0.3","0.3","100","random","0.1","0.2","0.7","16","98","69","29"
"22","0.3","0.3","100","random","0.2","0.2","0.7","8","95","67","28"
"21","0.3","0.3","100","random","0.1","0.2","0.7","17","98","69","29"
"22","0.3","0.3","100","random","0.2","0.2","0.7","9","96","68","28"
"21","0.3","0.3","100","random","0.1","0.2","0.7","18","98","69","29"
"22","0.3","0.3","100","random","0.2","0.2","0.7","10","98","69","29"
"23","0.3","0.3","100","random","0.3","0.2","0.7","3","58","44","14"
"21","0.3","0.3","100","random","0.1","0.2","0.7","19","99","69","30"
"22","0.3","0.3","100","random","0.2","0.2","0.7","11","99","69","30"
"21","0.3","0.3","100","random","0.1","0.2","0.7","20","100","70","30"
"22","0.3","0.3","100","random","0.2","0.2","0.7","12","99","69","30"
"23","0.3","0.3","100","random","0.3","0.2","0.7","4","72","53","19"
"22","0.3","0.3","100","random","0.2","0.2","0.7","13","100","70","30"
"23","0.3","0.3","100","random","0.3","0.2","0.7","5","83","60","23"
"23","0.3","0.3","100","random","0.3","0.2","0.7","6","89","63","26"
"24","0.3","0.3","100","random","0.4","0.2","0.7","0","0","0","0"
"23","0.3","0.3","100","random","0.3","0.2","0.7","7","93","66","27"
"23","0.3","0.3","100","random","0.3","0.2","0.7","8","94","66","28"
"23","0.3","0.3","100","random","0.3","0.2","0.7","9","97","69","28"
"24","0.3","0.3","100","random","0.4","0.2","0.7","1","24","17","7"
"23","0.3","0.3","100","random","0.3","0.2","0.7","10","99","70","29"
"23","0.3","0.3","100","random","0.3","0.2","0.7","11","99","70","29"
"23","0.3","0.3","100","random","0.3","0.2","0.7","12","100","70","30"
"24","0.3","0.3","100","random","0.4","0.2","0.7","2","50","36","14"
"24","0.3","0.3","100","random","0.4","0.2","0.7","3","71","49","22"
"24","0.3","0.3","100","random","0.4","0.2","0.7","4","87","60","27"
"24","0.3","0.3","100","random","0.4","0.2","0.7","5","93","65","28"
"25","0.3","0.3","100","random","0.5","0.2","0.7","0","0","0","0"
"24","0.3","0.3","100","random","0.4","0.2","0.7","6","96","66","30"
"26","0.3","0.3","100","random","0.6","0.2","0.7","0","0","0","0"
